
, 0
-72060.41, 0
-72035.32, 0
72, 0
-72680.22, 0
-72451.59, 0
-72262.17, 0
-72139.35, 0
-72114.57, 0
-72143.63, 0
-72207.60, 0
-72258.78, 0
-72269.28, 0
-72258Arduino with HC-05 is ready, 0
rªþ3, 0
-72216.94, 0
-72227.88, 0
-72217.01, 0
-72177.64, 0
-72128.82, 0
-72106.85, 0
-72092.39, 0
-72096.30, 0
-72090.77, 0
-72061.79, 0
-72031.55, 0
-71986.05, 0
-71960.09, 0
-71956.78, 0
-71985.37, 0
-72061.78, 0
-72142.19, 0
-72217.35, 0
-72249.25, 0
-72234.06, 0
-72202.25, 0
-72148.39, 0
-72112.19, 0
-72096.78, 0
-72112.30, 0
-72177.12, 0
-72252.38, 0
-72344.84, 0
-72427.82, 0
-72489.49, 0
-72545.02, 0
-72573.43, 0
-72603.61, 0
-72627.87, 0
-72664.45, 0
-72748.60, 0
-72850.24, 0
-72978.51, 0
-73094.59, 0
-73173.55, 0
-73221.65, 0
-73213.22, 0
-73183.72, 0
-73140.52, 0
-73111.21, 0
-73130.96, 0
-73175.90, 0
-73241.56, 0
-73272.46, 0
-73240.44, 0
-73148.31, 0
-72970.69, 0
-72747.71, 0
-72493.64, 0
-72244.97, 0
-72044.75, 0
-71880.34, 0
-71769.19, 0
-71680.70, 0
-71609.77, 0
-71571.96, 0
-71546.24, 0
-71564.65, 0
-71621.95, 0
-71725.12, 0
-71878.68, 0
-72038.99, 0
-72199.71, 0
-72314.07, 0
-72367.51, 0
-72373.57, 0
-72322.83, 0
-72263.02, 0
-72205.03, 0
-72184.11, 0
-72228.73, 0
-72306.77, 0
-72411.83, 0
-72493.78, 0
-72530.86, 0
-72521.56, 0
-72442.61, 0
-72339.61, 0
-72222.52, 0
-72129.49, 0
-72098.30, 0
-72107.01, 0
-72160.62, 0
-72218.42, 0
-72271.38, 0
-72329.18, 0
-72367.66, 0
-72407.77, 0
-72433.53, 0
-72455.24, 0
-72482.98, 0
-72479.36, 0
-72459.21, 0
-72396.27, 0
-72301.76, 0
-72195.92, 0
-72059.78, 0
-71920.46, 0
-71762.21, 0
-71596.27, 0
-71441.12, 0
-71281.90, 0
-71148.32, 0
-71028.72, 0
-70939.26, 0
-70890.06, 0
-70858.60, 0
-70865.51, 0
-70892.81, 0
-70961.27, 0
-71085.40, 0
-71232.46, 0
-71409.89, 0
-71575.67, 0
-71714.55, 0
-71819.53, 0
-71858.35, 0
-71863.27, 0
-71841.26, 0
-71841.53, 0
-71901.82, 0
-71999.26, 0
-72130.39, 0
-72231.53, 0
-72278.75, 0
-72263.31, 0
-72172.82, 0
-72066.41, 0
-71971.86, 0
-71944.49, 0
-72007.76, 0
-72123.65, 0
-72273.80, 0
-72387.00, 0
-72440.13, 0
-72434.63, 0
-72360.87, 0
-72275.05, 0
-72195.54, 0
-72152.18, 0
-72150.49, 0
-72146.51, 0
-72136.32, 0
-72088.19, 0
-72027.07, 0
-71984.78, 0
-71969.57, 0
-72019.06, 0
-72102.61, 0
-72203.05, 0
-72296.89, 0
